"name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-4-220C 
Strata Rocket ","  ","Franklin 6A-350-C1 ","6 ","350 cu. in. ","180 ","Carbureted ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 66 gallons ","100 ","Unknown ","  ","2,300 lbs. ","N/A ","1,350 lbs. ","950 lbs ","N/A ","250 lbs. ","8.8 quarts ","  ","156 KCAS ","126 KCAS ","Unknown ","Unknown ","1250 FPM ","13.75 lbs./sq. ft. ","10.45 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","
Performance
","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-4-180V 
Vintage Rocket ","  ","Lyc. O-360-C1F or C4F ","4 ","361 cu. in. ","180 ","Carbureted ","Constant Speed ","  ","  ","Standard Tanks:47.6 gallons 
Auxiliary Tanks: 77.6 gallons ","100 ","Unknown ","  ","2,300 lbs. ","N/A ","1,320 lbs. ","980 lbs. ","N/A ","170 lbs. ","8 quarts ","  ","156 Knots ","128 Knots ","Unknown ","Unknown ","Unknown ","14.6 lbs./sq. ft. ","12.8 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-5-180C 
Lunar Rocket ","  ","Lyc. O-360-C1F ","4 ","361 cu. in. ","180 ","Carbureted ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 33 gallons ","100 ","Unknown ","  ","2,300 lbs. ","N/A ","1,350 lbs. ","950 lbs. ","N/A ","250 lbs. ","8 quarts ","  ","156 Knots ","126 Knots ","Unknown ","Unknown ","900 FPM ","14.6 lbs./sq. ft. ","12.8 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-5-220C 
Lunar Rocket ","  ","Franklin 6A-350-C1 ","6 ","350 cu. in. ","220 ","Fuel Injected ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 33 gallons ","100 ","Unknown ","  ","2,300 lbs. ","N/A ","1,350 lbs. ","950 lbs. ","N/A ","250 lbs. ","8.8 quarts ","  ","156 Knots ","126 Knots ","Unknown ","32 Knots ","1250 FPM ","14.55 lbs./sq. ft. ","10.95 lbs./hp ","19,000 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-5-235C 
Lunar Rocker ","  ","Lyc. O-540-J1A5D or Lyc. IO-540-W1A5 ","6 ","541.5 ","235 ","Carbureted or Fuel Injected ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 33 gallons ","100 ","Unknown ","  ","2,300 lbs. ","N/A ","1,450 lbs. ","850 lbs. ","N/A ","250 lbs. ","O-540: 12 quarts 
IO-540: 8 quarts ","  ","156 Knots ","126 Knots ","Unknown ","Unknown ","Unknown ","14.6/15.8 lbs./sq. ft. ","9.8/10.6 lbs/hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-6-180 
Super Rocket ","  ","Lyc. O-360-C1F ","4 ","361 cu. in. ","180 ","Carbureted ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 33 gallons ","100 ","Unknown ","  ","2,500 lbs. "," N/A ","1,385 lbs. ","1,115 lbs. ","N/A ","250 lbs. ","8 quarts ","  ","156 Knots ","126 Knots ","Unknown ","Unknown ","Unknown ","15.1 lbs./sq. ft. ","13.9 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-6-235 
Super Rocket ","  ","Lyc. O-540-J1A5D or 
Lyc. IO-540-W1A5 ","6 ","541.5 cu. in. ","235 ","Carbureted or Fuel Injected ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 26, 30 or 42 gallons ","100 ","Unknown ","  ","2,500 lbs. ","N/A ","1,450 lbs. ","1,050 lbs. ","N/A ","250 lbs. ","O-540: 12 quarts 
IO-540: 8 quarts ","  ","156 Knots ","126 Knots ","Unknown ","Unknown ","1250 FPM ","15.1 lbs./sq. ft. ","10.6 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule MX-7-180 
Star Rocket ","  ","Lyc. O-360-C1F ","4 ","361 cu. in. ","180 ","Carbureted ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 30 gallons ","100 ","Unknown ","  ","2,500 lbs. "," N/A ","1,400 lbs. ","1,100 lbs. ","N/A ","250 lbs. ","8 quarts ","  ","161 Knots ","129 Knots ","Unknown ","Unknown ","1200 FPM ","15.8 lbs./sq. ft. ","13.9 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-7-235C 
Super Rocket ","  ","Lyc. O-540-J1A5D or 
Lyc. IO-540-W1A5 ","6 ","541.5 cu. in. ","235 ","Carbureted or Fuel Injected ","Constant Speed ","  ","  ","Standard Tanks: 43 gallons 
Auxiliary Tanks: 30 or 42 gallons ","100 ","Unknown ","  ","2,500 lbs. ","N/A ","1,535 lbs. ","965 lbs. ","N/A ","250 lbs. ","O-540: 12 quarts 
IO-540: 8 quarts ","  ","158 Knots ","128 Knots ","Unknown ","Unknown ","Unknown ","15.1 lbs./sq. ft. ","9.6 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"Maule M-7-260C 
Orion ","  ","Lyc. IO-540-V4A5 ","6 ","541.5 cu. in. ","260 ","Fuel Injected ","Constant Speed ","  ","  ","Standard Tanks: 47.6 gallons 
Auxiliary Tanks: 30 or 42 gallons ","100 ","Unknown ","  ","2,500 lbs. ","N/A ","1,535 lbs. ","965 lbs. ","N/A ","250 lbs. ","8 quarts ","  ","158 Knots ","128 Knots ","Unknown ","Unknown ","Unknown ","15.1 lbs./sq. ft. ","9.6 lbs./hp ","Unknown ""name","Engine: ","Model ","Length ","Height ","HP ","Seats ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Payload w/full fuel, as tested","Zero fuel weight ","Weights and Capacities: ","Maximum Takeoff Weight ","Maximum Landing Weight","Empty Weight, as tested ","Useful Load, as tested ","Wing loading ","Baggage Capacity ","","Performance ","Takeoff distance over 50-ft. obstacle ","Max. demnstrated crosswind component ","Stall Speed Clean ","Stall Speed Landing Configuration ","Rate of Climb, sea level ","Maximum operating altitude ","Cruise speed/endurance w/45-min rsv, std fuel (fuel consumption, ea engine) @ recommended cruise power ","Landing distance over 50-ft. obstacle "
"  ","Engine: ","Model ","Length ","Height ","HP ","Seats ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Payload w/full fuel, as tested","Zero fuel weight ","Weights and Capacities: ","Maximum Takeoff Weight ","Maximum Landing Weight","Empty Weight, as tested ","Useful Load, as tested ","Wing loading ","Baggage Capacity ","","Performance ","Takeoff distance over 50-ft. obstacle ","Max. demnstrated crosswind component ","Stall Speed Clean ","Stall Speed Landing Configuration ","Rate of Climb, sea level ","Maximum operating altitude ","Cruise speed/endurance w/45-min rsv, std fuel (fuel consumption, ea engine) @ recommended cruise power ","Landing distance over 50-ft. obstacle ""name","Engine: ","Model ","Length ","Height ","HP ","Seats ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Payload w/full fuel, as tested","Zero fuel weight ","Weights and Capacities: ","Maximum Takeoff Weight ","Maximum Landing Weight","Empty Weight, as tested ","Useful Load, as tested ","Wing loading ","Baggage Capacity ","","Performance ","Takeoff distance over 50-ft. obstacle ","Max. demnstrated crosswind component ","Stall Speed Clean ","Stall Speed Landing Configuration ","Rate of Climb, sea level ","Maximum operating altitude ","Cruise speed/endurance w/45-min rsv, std fuel (fuel consumption, ea engine) @ recommended cruise power ","Landing distance over 50-ft. obstacle "
"1978 Mitsubishi MU2-N ","  ","Honeywell TPE331-5 ","39 ft. 5 in.","13 ft. 8 in. ","776 eshp ","Up to 11 ","Constant Speed ","  ","  ","364 gallons usable, 2,440 lbs. ","1,368 lbs.","9,950 lbs. ","  ","11,575 lbs. ","11,025 lbs. ","7,817 lbs. ","3,808 lbs. ","65 lb./sq. ft. ","600 lbs. ","","  ","3,400 ft. (flaps 20) ","22 kt. (takeoff) 18 kt. (landing) ","106 KCAS ","81 KCAS ","2,300 fpm ","25,000 ft. ","276 kt/3.0 hr. ","2,900 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1999 Mooney Eagle 
M20S ","  ","Cont. IO-550-G ","6 ","550 cu. in. ","244 ","Fuel Injected ","Constant Speed ","  ","  ","81 gallons ","100 ","14.8 gallons ","  ","3200 lbs. ","N/A ","2229 lbs. estimated ","971 lbs. estimated ","N/A ","120 lbs. Baggage Area 
10 lbs. Rear Storage Area 
340 lbs. Cargo Area with rear seats folded down ","8 quarts ","  ","195 KCAS ","175 KCAS ","65 KIAS ","57.5 KIAS ","1175 FPM ","18.3 lbs./sq. ft. ","12.17 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
